slot id,date from,date to,tags
114,2008-12-05,2008-12-12,polityka-kultura-po-gdańsk-zagadka-sikorski-fym-człowiek-debata-globalne ocieplenie-włóczykij-bolek-wspomnienia-salon24.pl-polska-anioły-spotkanie-wałęsa megalomania-zsrr-dzieci
115,2008-12-08,2008-12-15,polityka-kultura-gdańsk-zagadka-debata-po-fym-stan wojenny-lewica-globalne ocieplenie-włóczykij-tusk-prezydent-sikorski-wychowanie-wspomnienia-dzieci-cenzura-rząd-azrael
116,2008-12-11,2008-12-18,polityka-kultura-stan wojenny-jaruzelski-gdańsk-prezydent-debata-zagadka-włóczykij-globalne ocieplenie-wydarzenie dnia-po-polska-fym-różności-salon24.pl-ekologia-społeczenstwo-cenzura-lewica
117,2008-12-14,2008-12-21,polityka-kultura-jaruzelski-stan wojenny-polska-gdańsk-wydarzenie dnia-włóczykij-wspomnienia-etyka-po-fym-salon24.pl-prezydent-andropow-ekologia-biznes-anioły-wycieczki śmieszne-zagadka
118,2008-12-17,2008-12-24,polityka-kultura-po-gdańsk-polska-absurd-wspomnienia-jaruzelski-zagadka-włóczykij-tusk-stan wojenny-gdynia-janek wiśniewski-ekologia-donald-etyka-anioły-gagarin-wycieczki śmieszne
119,2008-12-20,2008-12-27,polityka-kultura-po-absurd-fym-gagarin-lenin-życzenia-sławekp-tusk-boże narodzenie-debata-historia-polska-święta-bit-zagadka-maria kaczyńska-ludzie rozumni-z80
120,2008-12-23,2008-12-30,polityka-kultura-wydarzenie dnia-debata-izrael-salon24.pl-polska-po-palestyna-salon24-media-wojna-pis-hamas-różności-historia-wspomnienia-zagadka-biznes-boże narodzenie
121,2008-12-26,2009-01-02,polityka-kultura-wydarzenie dnia-debata-salon24.pl-polska-izrael-po-różności-nowy rok-salon24-media-palestyna-pis-tusk-życzenia-in vitro-rosja-hamas-absurd
122,2008-12-29,2009-01-05,polityka-wydarzenie dnia-kultura-debata-salon24.pl-izrael-polska-po-różności-pis-nowy rok-palestyna-historia-media-absurd-salon24-życzenia-rosja-tusk-wspomnienia
123,2009-01-01,2009-01-08,polityka-wydarzenie dnia-kultura-debata-polska-izrael-pis-po-rosja-salon24.pl-gaz-ukraina-absurd-palestyna-historia-różności-sld-media-hamas-prawica
124,2009-01-04,2009-01-11,polityka-wydarzenie dnia-polska-debata-kultura-po-izrael-pis-rosja-różności-gaz-ukraina-historia-media-palestyna-absurd-tusk-salon24.pl-wośp-kryzys
125,2009-01-07,2009-01-14,polityka-wydarzenie dnia-debata-polska-kultura-po-rosja-pis-gaz-media-różności-wośp-palikot-izrael-historia-ukraina-owsiak-absurd-tusk-ue
126,2009-01-10,2009-01-17,polityka-wydarzenie dnia-debata-polska-kultura-po-palikot-media-pis-różności-rosja-wośp-historia-gaz-absurd-owsiak-biznes-izrael-tusk-niemcy
127,2009-01-13,2009-01-20,polityka-wydarzenie dnia-debata-polska-po-kultura-palikot-media-pis-różności-absurd-historia-tusk-salon24.pl-gaz-izrael-niemcy-rosja-ue-biznes
128,2009-01-16,2009-01-23,polityka-wydarzenie dnia-po-debata-polska-ćwiąkalski-kultura-pis-tusk-różności-media-salon24.pl-olewnik-historia-absurd-rząd-niemcy-palikot-izrael-usa
129,2009-01-19,2009-01-26,polityka-wydarzenie dnia-kultura-polska-po-debata-ćwiąkalski-pis-tusk-media-różności-olewnik-historia-usa-czuma-absurd-biznes-salon24.pl-rząd-obama
130,2009-01-22,2009-01-29,polityka-wydarzenie dnia-kultura-polska-po-debata-pis-media-różności-historia-kryzys-rząd-czuma-tusk-salon24.pl-absurd-biznes-gospodarka-benedykt xvi-andrzej czuma
131,2009-01-25,2009-02-01,polityka-wydarzenie dnia-kultura-po-polska-pis-debata-media-tusk-różności-historia-kryzys-rząd-absurd-salon24.pl-marcinkiewicz-gospodarka-jarosław kaczyński-ue-kaczyński
132,2009-01-28,2009-02-04,polityka-wydarzenie dnia-pis-po-kultura-polska-debata-tusk-media-różności-kryzys-jarosław kaczyński-rząd-historia-kaczyński-ue-budżet-absurd-biznes-salon24
133,2009-01-31,2009-02-07,polityka-wydarzenie dnia-pis-polska-po-debata-kultura-tusk-okrągły stół-media-historia-różności-kryzys-jarosław kaczyński-kaczyński-rząd-budżet-absurd-biznes-ue
134,2009-02-03,2009-02-10,polityka-wydarzenie dnia-debata-polska-kultura-po-okrągły stół-historia-pis-tusk-różności-media-kryzys-pakistan-rząd-terroryzm-porwanie-salon24.pl-niemcy-absurd
135,2009-02-06,2009-02-13,polityka-wydarzenie dnia-debata-polska-kultura-po-pakistan-okrągły stół-media-tusk-różności-historia-rząd-czuma-terroryzm-pis-niemcy-salon24.pl-kryzys-porwanie
136,2009-02-09,2009-02-16,polityka-wydarzenie dnia-debata-kultura-polska-po-media-różności-tusk-czuma-pakistan-pis-niemcy-rząd-kryzys-terroryzm-historia-andrzej czuma-absurd-rokita
137,2009-02-12,2009-02-19,polityka-wydarzenie dnia-debata-kultura-polska-różności-po-niemcy-media-tusk-pis-kryzys-czuma-rokita-biznes-absurd-historia-kaczyński-andrzej czuma-rząd
138,2009-02-15,2009-02-22,polityka-wydarzenie dnia-kultura-polska-debata-po-kryzys-różności-pis-niemcy-tusk-media-biznes-euro-historia-ue-kaczyński-absurd-gospodarka-rząd
139,2009-02-18,2009-02-25,polityka-wydarzenie dnia-kultura-kryzys-polska-debata-po-różności-pis-tusk-euro-media-biznes-historia-ue-niemcy-rząd-absurd-wspomnienia-gazeta wyborcza
140,2009-02-21,2009-02-28,polityka-wydarzenie dnia-kultura-debata-polska-kryzys-po-media-różności-tusk-pis-niemcy-euro-gazeta wyborcza-biznes-marcinkiewicz-rząd-historia-wspomnienia-gospodarka
141,2009-02-24,2009-03-03,polityka-wydarzenie dnia-kultura-debata-polska-media-po-różności-kryzys-pis-tusk-salon24-niemcy-euro-iv rp-trójka-gazeta wyborcza-skowroński-biznes-ue
142,2009-02-27,2009-03-06,polityka-wydarzenie dnia-kultura-polska-debata-po-różności-media-pis-niemcy-salon24-kryzys-historia-iv rp-tusk-euro-gazeta wyborcza-absurd-eutanazja-trójka
143,2009-03-02,2009-03-09,polityka-wydarzenie dnia-kultura-debata-polska-po-różności-media-pis-niemcy-tusk-kryzys-absurd-eutanazja-historia-wspomnienia-salon24-rosja-steinbach-gazeta wyborcza
144,2009-03-05,2009-03-12,polityka-wydarzenie dnia-kultura-debata-po-różności-polska-media-tusk-kryzys-historia-pis-niemcy-eutanazja-absurd-wspomnienia-rosja-salon24-prawo-biznes
145,2009-03-08,2009-03-15,polityka-wydarzenie dnia-debata-kultura-po-polska-różności-media-tusk-psl-historia-pis-pawlak-kryzys-niemcy-lustracja-kościół-salon24.pl-biznes-ue
146,2009-03-11,2009-03-18,polityka-wydarzenie dnia-debata-kultura-po-polska-psl-różności-pawlak-media-pis-6-latki-tusk-historia-oświata-lustracja-kryzys-wybory-salon24.pl-kościół
147,2009-03-14,2009-03-21,polityka-wydarzenie dnia-debata-po-kultura-polska-tusk-psl-pawlak-media-misiak-różności-6-latki-pis-historia-oświata-absurd-kryzys-nowe technologie-biznes
148,2009-03-17,2009-03-24,polityka-wydarzenie dnia-debata-po-kultura-polska-media-tusk-różności-misiak-historia-pis-absurd-pawlak-oświata-6-latki-niemcy-psl-biznes-kryzys
149,2009-03-20,2009-03-27,polityka-wydarzenie dnia-debata-kultura-polska-po-różności-media-historia-absurd-tusk-pis-biznes-niemcy-kryzys-tvp-budżet-partie polityczne-palikot-wspomnienia
150,2009-03-23,2009-03-30,polityka-wydarzenie dnia-kultura-debata-polska-różności-po-media-biznes-tusk-absurd-historia-kryzys-pis-lustracja-wspomnienia-niemcy-ue-ipn-salon24.pl
151,2009-03-26,2009-04-02,polityka-wydarzenie dnia-polska-debata-ipn-kultura-po-różności-media-historia-tusk-lustracja-wałęsa-absurd-salon24.pl-pis-biznes-niemcy-salon24-wykaz notek
152,2009-03-29,2009-04-05,polityka-wydarzenie dnia-ipn-polska-po-debata-kultura-wałęsa-różności-historia-tusk-media-zyzak-lech wałęsa-pis-salon24.pl-wykaz notek-salon24-absurd-koty
153,2009-04-01,2009-04-08,polityka-wydarzenie dnia-ipn-polska-po-debata-różności-tusk-kultura-wałęsa-onz-historia-nato-media-sikorski-umowa-zyzak-lech wałęsa-absurd-kaczyński
154,2009-04-04,2009-04-11,polityka-wydarzenie dnia-debata-ipn-polska-kultura-różności-po-tusk-historia-onz-nato-absurd-kaczyński-umowa-pis-sikorski-wałęsa-wielkanoc-biznes
155,2009-04-07,2009-04-14,polityka-wydarzenie dnia-kultura-debata-ipn-różności-historia-polska-wielkanoc-po-pis-absurd-koty-biznes-tusk-wiara-wałęsa-życzenia-wspomnienia-demokracja
156,2009-04-10,2009-04-17,polityka-wydarzenie dnia-kultura-debata-różności-polska-historia-ipn-wielkanoc-po-salon24.pl-pis-absurd-dupa-wiara-media-biznes-tusk-pożar-kamień pomorski
157,2009-04-13,2009-04-20,polityka-wydarzenie dnia-debata-kultura-po-różności-polska-historia-salon24.pl-pis-palikot-media-ipn-tusk-dupa-biznes-tvp-pożar-kamień pomorski-salon24
158,2009-04-16,2009-04-23,polityka-wydarzenie dnia-debata-kultura-po-palikot-polska-pis-media-różności-historia-salon24.pl-tusk-biznes-kaczyński-dupa-iii rp-iv rp-radio internetowe-obyczaje
159,2009-04-19,2009-04-26,polityka-wydarzenie dnia-po-debata-kultura-pis-palikot-media-polska-historia-różności-salon24.pl-tusk-iii rp-salon24-kaczyński-dookoła wojtek-absurd-obyczaje-demokracja
160,2009-04-22,2009-04-29,polityka-wydarzenie dnia-po-pis-kultura-debata-polska-media-palikot-wybory-historia-dookoła wojtek-różności-sąd-salon24.pl-spot-tusk-absurd-iii rp-salon24
161,2009-04-25,2009-05-02,polityka-po-pis-polska-wydarzenie dnia-kultura-tusk-palikot-media-wybory-debata-dookoła wojtek-spot-niemcy-salon24-demokracja-wałęsa-zagadka-podatki-unia europejska
162,2009-04-28,2009-05-05,polityka-po-polska-pis-wałęsa-tusk-wybory-ue-media-palikot-unia europejska-prawicowe radio-kultura-libertas-salon24-kaczyński-niemcy-dookoła wojtek-demokracja-historia
163,2009-05-01,2009-05-08,polska-po-polityka-wałęsa-tusk-pis-ue-libertas-media-historia-unia europejska-wybory-solidarność-lech kaczyński-kaczyński-kultura-niemcy-dookoła wojtek-rosja-obyczaje
164,2009-05-04,2009-05-11,polska-polityka-po-tusk-media-wałęsa-pis-ue-solidarność-gazeta wyborcza-niemcy-historia-unia europejska-libertas-4 czerwca-wybory-rysunek satyryczny-gdańsk-homoseksualizm-debata
165,2009-05-07,2009-05-14,polityka-polska-po-tusk-pis-media-wybory-4 czerwca-niemcy-libertas-gazeta wyborcza-ue-historia-izrael-gdańsk-debata-rysunek satyryczny-rząd-solidarność-stocznie
166,2009-05-10,2009-05-17,polityka-polska-po-czuma-kataryna-media-wybory-libertas-pis-wałęsa-tusk-niemcy-debata-historia-rząd-izrael-4 czerwca-kultura-andrzej czuma-salon24
167,2009-05-13,2009-05-20,polityka-po-polska-czuma-media-kataryna-pis-wałęsa-wybory-libertas-tusk-debata-stocznie-historia-kultura-salon24-niemcy-andrzej czuma-solidarność-prawo
168,2009-05-16,2009-05-23,polityka-po-kataryna-polska-media-pis-tusk-wybory-wałęsa-debata-libertas-dziennik-historia-solidarność-stocznie-niemcy-prezydent-czuma-rząd-kryzys
169,2009-05-19,2009-05-26,kataryna-dziennik-polityka-media-po-polska-pis-tusk-kryzys-wybory-debata-krasowski-niemcy-prezydent-anonimowość-salon24-rząd-libertas-solidarność-historia
170,2009-05-22,2009-05-29,kataryna-dziennik-media-polityka-po-polska-niemcy-wybory-pis-anonimowość-krasowski-blogosfera-salon24-anatomia kobiety-internet-michalski-kryzys-prezydent-dziennikarze-tusk
171,2009-05-25,2009-06-01,kataryna-dziennik-polityka-media-po-polska-wybory-niemcy-pis-anatomia kobiety-salon24-blogosfera-tusk-dziennikarze-internet-historia-kaczyński-anonimowość-michalski-blogi
172,2009-05-28,2009-06-04,polityka-po-wybory-kataryna-dziennik-media-polska-niemcy-pis-4 czerwca-anatomia mężczyzny-tusk-historia-palikot-salon24-kaczyński-debata-anatomia kobiety-blogosfera-kultura
173,2009-05-31,2009-06-07,polityka-wybory-polska-po-4 czerwca-niemcy-pis-dziennik-historia-media-tusk-kataryna-salon24-anatomia mężczyzny-solidarność-kaczyński-rocznica-kultura-debata-palikot
174,2009-06-03,2009-06-10,wybory-polityka-pis-po-polska-4 czerwca-media-pe-niemcy-kaczyński-eurowybory-salon24-tusk-historia-parlament europejski-europarlament-unia europejska-dziennik-demokracja-kultura
175,2009-06-06,2009-06-13,wybory-pis-po-polityka-polska-media-pe-eurowybory-kaczyński-tusk-salon24-ziobro-unia europejska-parlament europejski-kultura-cugier-kotka-anatomia człowieka-toskania-europarlament-ue
176,2009-06-09,2009-06-16,polityka-pis-wybory-po-media-polska-tusk-kultura-salon24-ziobro-kaczyński-toskania-cugier-kotka-podróże-historia-anatomia człowieka-demokracja-dookoła wojtek-iran-prl
177,2009-06-12,2009-06-19,polityka-po-pis-polska-tusk-wybory-media-iran-dookoła wojtek-toskania-kultura-historia-kaczyński-edukacja-podróże-prl-nauka-studia-ziobro-salon24
178,2009-06-15,2009-06-22,polityka-po-polska-pis-tusk-media-wybory-iran-historia-kultura-edukacja-kaczyński-dookoła wojtek-rząd-niemcy-toskania-buzek-prl-studia-demokracja
179,2009-06-18,2009-06-25,polityka-polska-po-media-pis-tusk-historia-iran-wybory-kultura-niemcy-prezydent-kaczyński-dookoła wojtek-salon24-demokracja-dziennik-migalski-prl-rząd
180,2009-06-21,2009-06-28,polityka-po-media-polska-pis-tusk-kultura-historia-dookoła wojtek-wybory-niemcy-iran-kaczyński-salon24-religia-toskania-prezydent-prl-podatki-kościół
181,2009-06-24,2009-07-01,po-polityka-media-tusk-polska-pis-dookoła wojtek-kultura-niemcy-podatki-salon24-historia-ue-podróże-toskania-prawica-ustawa medialna-społeczeństwo-lewica-iii rp
182,2009-06-27,2009-07-04,polityka-po-polska-media-tusk-pis-dookoła wojtek-niemcy-historia-olechowski-toskania-kultura-lewica-podróże-demokracja-prawica-wybory-powódź-salon24-ue
183,2009-06-30,2009-07-07,polityka-po-polska-media-tusk-pis-olechowski-historia-dookoła wojtek-sd-niemcy-wakacje-prl-rosja-demokracja-kultura-piskorski-rysunek satyryczny-nauka-ue
184,2009-07-03,2009-07-10,polityka-po-media-tusk-polska-pis-historia-kultura-olechowski-tvp-sd-rosja-niemcy-prawo-podatki-lewica-salon24-wakacje-nauka-wolność
185,2009-07-06,2009-07-13,polityka-po-polska-media-tusk-pis-kultura-historia-salon24-podatki-żydzi-olechowski-sd-prawo-rosja-piskorski-wolność-podróże-tvp-polacy
186,2009-07-09,2009-07-16,polityka-polska-po-pis-media-historia-kultura-tusk-podatki-dookoła wojtek-salon24-wybory-żydzi-podróże-sd-buzek-kaczyński-rząd-religia-unia europejska
187,2009-07-12,2009-07-19,polityka-polska-dookoła wojtek-media-pis-po-rydzyk-historia-kultura-tusk-buzek-parlament europejski-ue-lord s-radio maryja-jerzy buzek-wolność-pe-niemcy-salon24
188,2009-07-15,2009-07-22,polityka-kdt-polska-po-media-dookoła wojtek-pis-tusk-warszawa-wolność-prezydent-salon24-kultura-rydzyk-historia-takie tam-niemcy-unia europejska-parlament europejski-kamiński
189,2009-07-18,2009-07-25,kdt-polityka-po-polska-media-warszawa-tusk-dookoła wojtek-pis-historia-prezydent-policja-hgw-salon24-wolność-prl-kultura-komunizm-stocznie-kupcy
190,2009-07-21,2009-07-28,kdt-polityka-po-polska-media-warszawa-pis-historia-wolność-tusk-policja-stocznie-salon24-dookoła wojtek-życie-hgw-takie tam-prezydent-religia-kupcy
191,2009-07-24,2009-07-31,polityka-wolność-polska-po-media-historia-religia-powstanie warszawskie-kdt-życie-tusk-pis-salon24-takie tam-rosja-prywatyzacja-prawo-bóg-kryzys-niemcy
192,2009-07-27,2009-08-03,powstanie warszawskie-polityka-polska-media-po-wolność-historia-warszawa-niemcy-powstanie-religia-kdt-rosja-życie-pis-bóg-tusk-takie tam-patriotyzm-wybory
193,2009-07-30,2009-08-06,powstanie warszawskie-polityka-polska-po-media-historia-niemcy-powstanie-warszawa-owsiak-przystanek woodstock-woodstock-takie tam-pis-ue-salon24-rocznica-katalog-2x20-polacy
194,2009-08-02,2009-08-09,polityka-polska-po-powstanie warszawskie-media-pis-historia-bandera-niemcy-takie tam-ukraina-owsiak-woodstock-przystanek woodstock-wolność-rosja-katalog-2x20-rajd-upa
195,2009-08-05,2009-08-12,polityka-polska-po-media-historia-ukraina-pis-bandera-niemcy-rosja-takie tam-tusk-polacy-kultura-wybory-wakacje-upa-prywatyzacja-piłka nożna-rajd
196,2009-08-08,2009-08-15,polska-polityka-po-takie tam-media-tusk-wybory-ukraina-rosja-salon24-niemcy-anna walentynowicz-pis-historia-prywatyzacja-wakacje-the galeria-konserwatyzm-prawo-kultura
197,2009-08-11,2009-08-18,polska-polityka-po-madonna-afganistan-anna walentynowicz-media-prywatyzacja-historia-salon24-rosja-pis-wybory-tusk-takie tam-prawo-the galeria-niemcy-społeczeństwo-stocznie
198,2009-08-14,2009-08-21,polska-polityka-po-stocznie-historia-tusk-afganistan-madonna-rosja-wojsko-pis-anna walentynowicz-klich-skrzypczak-salon24-rząd-armia-rysunek satyryczny-takie tam-prywatyzacja
199,2009-08-17,2009-08-24,polska-polityka-historia-po-rosja-tusk-stocznie-afganistan-pis-klich-niemcy-wojsko-armia-skrzypczak-rząd-wolność-media-rysunek satyryczny-internet-takie tam
200,2009-08-20,2009-08-27,polska-polityka-historia-niemcy-rosja-po-tusk-pis-ii wojna światowa-putin-media-salon24-takie tam-internet-rysunek satyryczny-lech wałęsa-piłka nożna-sopot-wojna-komunizm
201,2009-08-23,2009-08-30,polska-polityka-rosja-historia-niemcy-po-tusk-ii wojna światowa-putin-pis-salon24-media-piłka nożna-usa-obama-stocznie-1939-rysunek satyryczny-wojna-takie tam
202,2009-08-26,2009-09-02,polska-rosja-polityka-putin-historia-niemcy-ii wojna światowa-tusk-piłka nożna-po-media-usa-1939-obama-kaczyński-polityka historyczna-wojna-salon24-solidarność-pis
203,2009-08-29,2009-09-05,polska-polityka-rosja-putin-historia-niemcy-tusk-ii wojna światowa-media-po-1 września-westerplatte-1939-piłka nożna-kaczyński-usa-wojna-wałęsa-solidarność-polityka historyczna
204,2009-09-01,2009-09-08,polska-polityka-putin-rosja-niemcy-historia-tusk-po-media-pis-ii wojna światowa-piłka nożna-kaczyński-westerplatte-wojna-gdańsk-usa-ue-komunizm-nominowani
205,2009-09-04,2009-09-11,polska-polityka-po-pis-tusk-media-piłka nożna-historia-rosja-niemcy-sld-putin-katyń-niesiołowski-salon24-deficyt-sport-reprezentacja-usa-takie tam
206,2009-09-07,2009-09-14,polska-polityka-po-pis-historia-media-tusk-rosja-katyń-piłka nożna-niesiołowski-sld-sejm-salon24-sport-niemcy-putin-rysunek satyryczny-ludobójstwo-kaczyński
207,2009-09-10,2009-09-17,polska-polityka-po-historia-katyń-pis-tusk-media-rosja-salon24-piłka nożna-sejm-niesiołowski-sport-ludobójstwo-kaczyński-rysunek satyryczny-siatkówka-prawo-niemcy
208,2009-09-13,2009-09-20,polska-polityka-po-historia-usa-tusk-rosja-tarcza-katyń-tarcza antyrakietowa-pis-17 września-media-prezydent-obama-salon24-kaczyński-niemcy-tvp-piłka nożna
209,2009-09-16,2009-09-23,polska-polityka-usa-rosja-tarcza-tusk-tarcza antyrakietowa-po-17 września-historia-tvp-media-niemcy-obama-pis-prezydent-piłka nożna-dookoła wojtek-lech kaczyński-prawo
210,2009-09-19,2009-09-26,polska-polityka-aborcja-rosja-alicja tysiąc-usa-media-po-tusk-pis-niemcy-tvp-salon24-dookoła wojtek-sąd-tarcza-tarcza antyrakietowa-lech kaczyński-piłka nożna-prawo
211,2009-09-22,2009-09-29,polska-polityka-aborcja-polański-alicja tysiąc-pis-media-niemcy-rosja-usa-salon24-po-prawo-tusk-kultura-sąd-pedofilia-kaczyński-dookoła wojtek-roman polański
212,2009-09-25,2009-10-02,polański-polska-polityka-po-pis-pedofilia-niemcy-tusk-prawo-rosja-media-roman polański-kultura-aborcja-chlebowski-usa-cba-afera hazardowa-cimoszewicz-wybory
213,2009-09-28,2009-10-05,polański-po-afera hazardowa-polityka-polska-tusk-cba-chlebowski-pis-drzewiecki-traktat lizboński-niemcy-hazard-pedofilia-prawo-media-irlandia-rosja-roman polański-korupcja
214,2009-10-01,2009-10-08,po-afera hazardowa-cba-tusk-polityka-polska-chlebowski-drzewiecki-pis-hazard-korupcja-afera-kamiński-traktat lizboński-rząd-donald tusk-mariusz kamiński-polański-irlandia-schetyna
215,2009-10-04,2009-10-11,po-tusk-afera hazardowa-cba-polityka-polska-kamiński-pis-obama-nobel-afera-mariusz kamiński-korupcja-traktat lizboński-drzewiecki-hazard-donald tusk-rząd-schetyna-chlebowski
216,2009-10-07,2009-10-14,tusk-cba-po-polityka-afera hazardowa-polska-kamiński-pis-nobel-obama-afera-mariusz kamiński-rząd-afera stoczniowa-traktat lizboński-kaczyński-grad-stocznie-media-donald tusk
217,2009-10-10,2009-10-17,cba-tusk-polityka-po-polska-kamiński-afera stoczniowa-pis-afera hazardowa-afera-media-mariusz kamiński-traktat lizboński-stocznie-salon24-piłka nożna-grad-kaczyński-rząd-afery
218,2009-10-13,2009-10-20,cba-polityka-tusk-polska-po-salon24-media-kamiński-pis-piłka nożna-afera-afera stoczniowa-afera hazardowa-kaczyński-abw-mariusz kamiński-urodziny-pzpn-dziennikarze-podsłuchy
219,2009-10-16,2009-10-23,polityka-polska-po-cba-tusk-media-salon24-pis-abw-dziennikarze-podsłuchy-afera hazardowa-piłka nożna-kamiński-koty-urodziny-historia-kaczyński-afery-korupcja
220,2009-10-19,2009-10-26,po-polska-polityka-cba-tusk-media-pis-afera hazardowa-koty-wybory-afery-salon24-kamiński-dziennikarze-piłka nożna-historia-korupcja-maciej rybiński-rysunek satyryczny-afera
221,2009-10-22,2009-10-29,po-polska-polityka-tusk-cba-media-afera hazardowa-pis-kamiński-rząd-hazard-afery-salon24-dziennikarze-historia-afera stoczniowa-wybory-maciej rybiński-rysunek satyryczny-niemcy
222,2009-10-25,2009-11-01,po-polityka-polska-tusk-media-cba-afera hazardowa-pis-hazard-kamiński-niemcy-rząd-historia-kaczyński-salon24-dziennikarze-demokracja-afera-rysunek satyryczny-afery
223,2009-10-28,2009-11-04,polityka-po-polska-tusk-media-afera hazardowa-pis-wszystkich świętych-hazard-cba-rysunek satyryczny-kaczyński-historia-dookoła wojtek-piłka nożna-salon24-niemcy-afery-kościół-palikot
224,2009-10-31,2009-11-07,polityka-po-polska-tusk-grypa-media-historia-rysunek satyryczny-ukraina-rosja-religia-wszystkich świętych-afera hazardowa-palikot-piłka nożna-hazard-niemcy-demokracja-pis-kościół
225,2009-11-03,2009-11-10,polityka-polska-po-tusk-niemcy-grypa-pis-piłka nożna-rosja-mur berliński-demokracja-media-rysunek satyryczny-historia-afera hazardowa-hazard-ue-religia-unia europejska-krzyż
226,2009-11-06,2009-11-13,polska-polityka-po-tusk-niemcy-mur berliński-pis-historia-niepodległość-11 listopada-piłka nożna-rosja-ue-demokracja-rysunek satyryczny-media-kościół-europa-patriotyzm-krzyż
227,2009-11-09,2009-11-16,polska-polityka-po-historia-tusk-niemcy-religia-mur berliński-kościół-pis-11 listopada-niepodległość-media-rysunek satyryczny-piłka nożna-krzyż-rosja-biblia-demokracja-dookoła wojtek
228,2009-11-12,2009-11-19,polityka-polska-po-historia-tusk-religia-kościół-krzyż-pis-koty-rysunek satyryczny-media-grypa-demokracja-niemcy-ateizm-dookoła wojtek-biblia-film-rosja
229,2009-11-15,2009-11-22,polityka-polska-tusk-po-krzyż-koty-salon24-pis-religia-demokracja-kościół-historia-media-rząd-rysunek satyryczny-ateizm-grypa-niemcy-piłka nożna-dookoła wojtek
230,2009-11-18,2009-11-25,polityka-tusk-polska-po-salon24-konstytucja-piwnica-piłka nożna-demokracja-krzyż-pis-media-niemcy-rysunek satyryczny-prawo-koty-historia-dookoła wojtek-religia-kościół
231,2009-11-21,2009-11-28,polityka-piwnica-tusk-salon24-polska-konstytucja-po-pis-media-demokracja-niemcy-prezydent-dookoła wojtek-historia-rysunek satyryczny-prawo-piłka nożna-kaczyński-grypa-religia
232,2009-11-24,2009-12-01,piwnica-polska-polityka-salon24-po-tusk-konstytucja-pis-religia-rysunek satyryczny-rosja-historia-ue-dookoła wojtek-media-grypa-niemcy-demokracja-piłka nożna-krzyż
233,2009-11-27,2009-12-04,polska-polityka-piwnica-salon24-tusk-po-pis-ue-rosja-afganistan-rysunek satyryczny-historia-niemcy-unia europejska-konstytucja-religia-dookoła wojtek-demokracja-ipn-muzyka
234,2009-11-30,2009-12-07,polityka-polska-po-tusk-salon24-pis-media-religia-historia-piwnica-afera hazardowa-niemcy-afganistan-ue-demokracja-rysunek satyryczny-kościół-takie tam-ipn-dookoła wojtek
235,2009-12-03,2009-12-10,polityka-po-pis-polska-tusk-media-religia-salon24-historia-popis-afera hazardowa-kościół-takie tam-demokracja-niemcy-rysunek satyryczny-rosja-jaruzelski-ipn-piłka nożna
236,2009-12-06,2009-12-13,polityka-po-pis-polska-stan wojenny-media-jaruzelski-popis-historia-salon24-tusk-religia-piesiewicz-afera hazardowa-rosja-demokracja-kopenhaga-niemcy-rysunek satyryczny-lewica
237,2009-12-09,2009-12-16,stan wojenny-polityka-jaruzelski-polska-po-piesiewicz-pis-media-historia-popis-tusk-salon24-13 grudnia-niemcy-prl-komunizm-kopenhaga-rysunek satyryczny-rosja-kultura
238,2009-12-12,2009-12-19,polityka-stan wojenny-polska-piesiewicz-jaruzelski-media-po-historia-tusk-zima-niemcy-prl-pis-popis-13 grudnia-takie tam-rysunek satyryczny-ekologia-salon24-kopenhaga
239,2009-12-15,2009-12-22,polityka-polska-media-po-zima-historia-tusk-piesiewicz-niemcy-takie tam-pis-salon24-auschwitz-popis-wybory-rosja-święta-sld-stan wojenny-rysunek satyryczny
240,2009-12-18,2009-12-25,polityka-boże narodzenie-święta-polska-życzenia-auschwitz-zima-historia-media-po-wigilia-niemcy-pis-prezydent-tusk-wybory-olechowski-popis-kościół-salon24
241,2009-12-21,2009-12-28,święta-boże narodzenie-życzenia-polityka-polska-prezydent-wybory-religia-kościół-wigilia-historia-olechowski-rosja-tusk-kultura-po-media-niemcy-muzyka-rysunek satyryczny
242,2009-12-24,2009-12-31,polityka-święta-boże narodzenie-polska-po-życzenia-religia-kościół-pis-tusk-takie tam-wybory-demokracja-media-publicystyka-muzyka-afera hazardowa-film-kultura-komisja hazardowa
243,2009-12-27,2010-01-03,polityka-po-polska-nowy rok-media-tusk-pis-życzenia-takie tam-film-2010-wybory-afera hazardowa-demokracja-religia-kościół-sylwester-rosja-historia-piłka nożna
244,2009-12-30,2010-01-06,polityka-polska-media-nowy rok-tusk-po-pis-wybory-życzenia-2010-takie tam-salon24-demokracja-zima-rosja-piłka nożna-rysunek satyryczny-historia-gospodarka-afera hazardowa
245,2010-01-02,2010-01-09,polityka-po-polska-tusk-pis-media-wybory-demokracja-rosja-salon24-zima-komisja hazardowa-religia-afera hazardowa-piłka nożna-rysunek satyryczny-komisja śledcza-takie tam-kempa-niemcy
246,2010-01-05,2010-01-12,polityka-wośp-owsiak-polska-po-tusk-media-pis-zima-salon24-religia-komisja hazardowa-nfz-demokracja-wybory-niemcy-piłka nożna-kempa-komisja śledcza-prawo
247,2010-01-08,2010-01-15,polityka-wośp-polska-owsiak-po-tusk-media-pis-salon24-zima-palikot-niemcy-nfz-rosja-historia-wybory-gdańsk-afera hazardowa-rysunek satyryczny-religia
